id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
274312	-284000	-283600	400	12971048018577591380676	9878904849	16766.53	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x1C689487CdD86Ef06485fE20d5fDA3f41E853A4F	1	-887272	887272	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274324	-284050	-283450	600	3959249905922103968721	1918301690	4020.66	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0xF0f408B2e3d9B02BD01D07E298623a1E099AF30c	1	-887272	887272	-100	-100	6	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274326	-284050	-283450	600	1273053799461249369120	616809071	1292.80	0.00	0.00	0.00	3	3	100	0.02	0.0000	0.0000	0.0000	0.0000	0x1C2AC7D6e5a83f5C8A3122d576FC5Cd75646c16d	1	-887272	887272	0	0	6	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274363	-283850	-283600	250	35715220051879836663709	12862696757	31827.48	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x93C88635a15D923f72742d63033F6f3e93eE9815	1	-887272	887272	20	20	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274392	-283900	-283500	400	4891033411131473400559	2570800088	5167.94	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x1A505721C545407F17a3A661db47135e44fFd6FB	1	-286268	-281433	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274454	-283850	-283550	300	489844021683547144600	437811701	697.92	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0x3F6583969E96f5CAA02118807be5515EF109c520	1	-887272	887272	0	0	3	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274675	-284450	-282900	1550	4778639056832135686967	2300031405	4837.49	0.00	0.00	0.00	22	22	100	0.23	0.0000	0.0000	0.0000	0.0000	0xd3aA2FEA39ACf07EA49524303a9729DA891D9205	1	-887272	887272	0	0	15	15	50	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274710	-283900	-283200	700	618875367153594267923	127311148	455.93	0.00	0.00	0.00	24	24	100	0.18	0.0000	0.0000	0.0000	0.0000	0xAC7a2359e23Ba2092bb620DCdB2cc14468c9046B	0	0	0	0	0	7	6	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274730	-283800	-283550	250	758821587257752427983	282693304	685.63	0.00	0.00	0.00	1	1	100	0.05	0.0000	0.0000	0.0000	0.0000	0xd04A1CfaD2d77B8bd5C18a53cc128A87Ed9ff36C	1	-887272	887272	0	0	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274759	-283550	-283500	50	2678334073297215309837	4208908695	5631.10	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274777	-283450	-283400	50	8750154639193209394588	1197469890	5843.80	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274787	-283500	-283450	50	721010115626428842491	337573713	720.43	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274803	-283550	-283500	50	486529247934021394317	448714000	707.06	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274808	-283650	-283400	250	28851085825327657337758	15898259666	31218.19	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0x93C88635a15D923f72742d63033F6f3e93eE9815	1	-887272	887272	20	20	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274813	-283700	-283250	450	575725475479662258911	192124552	497.83	0.00	0.00	0.00	4	4	100	0.00	0.0000	0.0000	0.0000	0.0000	0x0b430963e1912163915455f6ed87d8203cae66e4	0	0	0	0	0	4	4	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274814	-283750	-283350	400	13814006262216028220275	9346160180	16681.40	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0x1C689487CdD86Ef06485fE20d5fDA3f41E853A4F	1	-887272	887272	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274818	-283750	-283350	400	1926302010636898226692	1303280657	2326.15	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xc7caBa537c9edf617ac6CD3ea587dBd803837b3c	0	0	0	0	0	4	3	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274821	-284200	-282800	1400	6620278692889338001806	3072022965	6587.39	0.00	0.00	0.00	21	21	100	0.15	0.0000	0.0000	0.0000	0.0000	0x2435782Ae15482c9BF7E73FbFf8B33EaeC5cbd2F	1	-887272	887272	0	0	13	14	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274847	-283650	-283250	400	4999963947891789711419	2471769351	5126.75	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0x1A505721C545407F17a3A661db47135e44fFd6FB	1	-286268	-281433	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274848	-283550	-283150	400	3976846958887898183574	660352472	2772.06	0.00	0.00	0.00	4	4	100	0.00	0.0000	0.0000	0.0000	0.0000	0x36980F0722e13CB4219248004b6938a3a53DF680	0	0	0	0	0	4	3	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274857	-283750	-283150	600	3891894900974439188518	1918847382	3985.44	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xF0f408B2e3d9B02BD01D07E298623a1E099AF30c	1	-887272	887272	-100	-100	6	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274858	-283450	-283400	50	1374052796031800950548	11005387	740.63	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274859	-283800	-283100	700	50379192347161054652	24819819	51.57	0.00	0.00	0.00	10	10	100	0.01	0.0000	0.0000	0.0000	0.0000	0xF08cC460e779544d6736A0f0897b7197a6cfe576	0	0	0	0	0	7	6	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274863	-284250	-282650	1600	3463594045786236720168	1701979032	3541.15	0.00	0.00	0.00	22	22	100	0.06	0.0000	0.0000	0.0000	0.0000	0xeA312534EFf3D5AbA7467Ce55DEe3Ffa9Db840d2	1	-887272	887272	0	0	16	15	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274877	-283550	-283450	100	317023075343841323807	527953525	696.29	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	1	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274880	-283500	-283400	100	324117596101891919336	523668486	695.77	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	1	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274888	-283450	-283400	50	646928003534510118612	364233035	707.75	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274904	-283600	-283300	300	626601307209449408396	366372806	699.10	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0x3F6583969E96f5CAA02118807be5515EF109c520	1	-887272	887272	0	0	3	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274908	-283550	-283300	250	720829386014096235294	292784376	675.54	0.00	0.00	0.00	1	1	100	0.00	0.0000	0.0000	0.0000	0.0000	0xd04A1CfaD2d77B8bd5C18a53cc128A87Ed9ff36C	1	-887272	887272	0	0	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274931	-284000	-283000	1000	6340409226786433318368	5060259785	8427.02	0.00	0.00	0.00	6	6	100	0.00	0.0000	0.0000	0.0000	0.0000	0x1aaa7ba2Df279D29A174E6E5Acd84378593A18fe	1	-887272	887272	0	0	12	7	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274934	-283750	-283000	750	5186022493161644408867	2518542710	5272.32	0.00	0.00	0.00	4	4	100	0.00	0.0000	0.0000	0.0000	0.0000	0x576142eAd1fDbbf3be8b2b037B9834234181bBF8	1	-887272	887272	0	0	7	7	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274938	-284150	-282650	1500	15456194496062141979234	8155749243	16362.99	0.00	0.00	0.00	22	22	100	0.06	0.0000	0.0000	0.0000	0.0000	0xD17CB0d6B801F46dc7227947749e2291f518381A	1	-887272	887272	0	0	15	14	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274951	-283400	-283350	50	5467775281037777900163	2725808208	5629.20	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275050	-283700	-283250	450	808832598167579776120	1328717501	1758.21	0.00	0.00	0.00	5	5	100	0.01	0.0000	0.0000	0.0000	0.0000	0x88b90ab0fb34C3E2520383dB4d3B137e1fEc5ba4	0	0	0	0	0	4	4	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275053	-283600	-283200	400	1743357433689533476511	1379533861	2305.26	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xc7caBa537c9edf617ac6CD3ea587dBd803837b3c	0	0	0	0	0	4	3	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275072	-283850	-282850	1000	1620168188856784319965	807317845	1667.63	0.00	0.00	0.00	6	6	100	0.00	0.0000	0.0000	0.0000	0.0000	0x0d59BB228A1836AE1BC7C9F26E7878D31949c53a	0	0	0	0	0	10	9	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275101	-283850	-283000	850	2293490864433593683497	1173311587	2391.16	0.00	0.00	0.00	5	5	100	0.01	0.0000	0.0000	0.0000	0.0000	0xd1f7317CdEFe7F702033CA46dBAE418e95e2154b	1	-887272	-269393	50	100	8	8	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275108	-284000	-282900	1100	6720091237567862747034	3739398394	7307.77	0.00	0.00	0.00	21	21	100	0.15	0.0000	0.0000	0.0000	0.0000	0xABaa74f333518fFd9f47CEc3B3262930eBA7c112	0	0	0	0	0	11	10	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275128	-283350	-283300	50	8520700881998001236770	1227699997	5752.19	0.00	0.00	0.00	1	1	100	0.02	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275142	-283300	-283250	50	2944709261769767421120	3986464422	5550.11	0.00	0.00	0.00	1	1	100	0.00	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275149	-284000	-283000	1000	1393157963052753335012	1922992363	2662.76	0.00	0.00	0.00	6	6	100	0.00	0.0000	0.0000	0.0000	0.0000	0x6f7D44a5926DC8a706a0284550c5B5dD712888b1	1	-286080	887272	50	100	14	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
275167	-283450	-283050	400	13242925878325993787557	9444019649	16476.01	0.00	0.00	0.00	1	1	100	0.00	0.0000	0.0000	0.0000	0.0000	0x1C689487CdD86Ef06485fE20d5fDA3f41E853A4F	1	-887272	887272	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
