id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
99495	1	3	2	980.722419	20.377901	0	1001.29847	1001.1003199999999	0.03671676276007517	0.11	1.34	100	80	1.2001	1.2003	0.0002	1.2002	0x0aac7b14848701daf57939fcd51b60d1029cd57f	FALSE	0	0	0	0	0	0	0
125830	-2	-1	1	11214.719216	42242.624654	0	53456.091041	53457.34387	1.8670079173383547	0.10	1.27	100	100	0.9998	0.9999	0.0001	0.9999	0x16f562fb6587a19e19761654adb195f8bc879b5d	FALSE	0	0	0	0	0	0	0
153572	6	7	1	19571.584288	19323.239264	38882.754142	0	38894.823552	1.3301679044628114	0.10	1.25	0	50	1.2006	1.2007	0.0001	1.2007	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
154964	8	9	1	24166.584928	14706.697627	0	38894.289126	38873.282555	1.1939998824565206	0.09	1.12	100	100	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
142862	8	9	1	2838.434256	1139.808952	0	3980.697452	3978.243208	0.12588805860453772	0.09	1.16	0	67	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
140992	10	11	1	1933.20531	2055.36896	3986.467155	0	3988.57427	0.1224508893290498	0.09	1.12	0	74	1.2010	1.2011	0.0001	1.2011	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
153576	6	7	1	1484.489445	1465.652669	2949.226657	0	2950.142114	0.08468136070757892	0.09	01.05	0	50	1.2006	1.2007	0.0001	1.2007	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
141209	3	6	3	616.128894	395.263969	0	1011.706293	1011.3928629999999	0.030114966543927278	0.09	01.09	99	57	1.2003	1.2006	0.0003	1.2005	0x7617452156f474836604c1a79c79c0627be5fe74	FALSE	0	0	0	0	1	1	0
129223	1	2	1	3602.141091	50398.011515	0	54000.861052	54000.152605999996	4.142074413796367	0.08	0.93	8	4	1.2001	1.2002	0.0001	1.2002	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	FALSE	0	0	0	0	0	0	0
129234	1	2	1	2299.777033	32176.471288	0	34476.700626	34476.248321	2.6403639878837533	0.08	0.93	7	3	1.2001	1.2002	0.0001	1.2002	0xc82335bbdc978ce2e1f1c6c4f9e5bb2270bb2af1	FALSE	0	0	0	0	0	0	0
127136	0	1	1	34774.18094	18662.830231	0	53439.357067	53437.011171	1.4926070481725526	0.08	01.02	100	100	1.2000	1.2001	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
133412	4	5	1	11267.980336	42050.866686	0	53324.362978	53318.847022	1.3959416657610424	0.08	0.96	92	94	1.2004	1.2005	0.0001	1.2005	0x16f562fb6587a19e19761654adb195f8bc879b5d	TRUE	-887272	887272	0	0	0	0	100
127140	0	1	1	25322.42107	13590.199185	0	38914.328527	38912.620255	1.045057990151818	0.08	0.98	100	100	1.2000	1.2001	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
153793	3	6	3	5368.639531	5490.420351	0	10861.883443	10859.059882	0.29781837001223177	0.08	1.00	30	19	1.2003	1.2006	0.0003	1.2005	0x0bd7e0f100bf5bc1b635fe2f67435a3f35868b9d	FALSE	0	0	0	0	1	1	0
99955	6	7	1	2025.175798	1034.820246	3059.35789	0	3059.996044	0.08001660935127804	0.08	0.95	0	36	1.2006	1.2007	0.0001	1.2007	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
142863	8	9	1	2097.021237	858.202215	0	2957.037043	2955.223452	0.07795604714187221	0.08	0.96	0	56	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
153543	8	9	1	110.585098	1300.725914	1410.211015	0	1411.3110120000001	0.03821088886306315	0.08	0.99	0	52	1.2008	1.2009	0.0001	1.2009	0xd9cf2e3e07955af2f272030e35a948326cf733f7	TRUE	-887272	887272	0	0	0	0	100
133988	9	10	1	14004.068751	39159.331265	0	53177.225638	53163.400016	1.322203493756382	0.07	0.91	100	100	1.2009	1.2010	0.0001	1.2010	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
127143	0	1	1	1926.309154	1128.45033	0	3054.891375	3054.759484	0.07579217631528905	0.07	0.91	100	100	1.2000	1.2001	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99142	-2	-1	1	2971.034932	95.167389	0	3065.761331	3066.202321	0.06852010812539942	0.07	0.82	100	100	0.9998	0.9999	0.0001	0.9999	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
141004	10	11	1	1644.64959	1318.606718	2961.909136	0	2963.256308	0.06510998673927841	0.07	0.80	0	65	1.2010	1.2011	0.0001	1.2011	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
102802	0	3	3	524.149386	490.012276	433.969124	580.206788	1014.161662	0.02312240906182161	0.07	0.83	100	100	1.2000	1.2003	0.0003	1.2002	0x7617452156f474836604c1a79c79c0627be5fe74	FALSE	0	0	0	0	1	1	0
113210	-3	-2	1	31.758141	47.114198	31.75814	47.114197	78.872339	0.0019252725149047159	0.07	0.89	100	0	0.9997	0.9998	0.0001	0.9998	0x9800511c5082c3aa6f4335a75dc78b1a87ea307a	FALSE	0	0	0	0	0	0	0
153863	3	6	3	7509.089066	7480.773985	0	14993.804969	14989.863051	0.29594054971001743	0.06	0.72	100	100	1.2003	1.2006	0.0003	1.2005	0x10eb84abd429fa4df8dcabbc7c2803822a5b82d9	TRUE	-887272	887272	0	0	1	1	100
142226	11	12	1	1083.328395	1876.142126	2957.348627	0	2959.470521	0.0626319289855933	0.06	0.77	0	60	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
192036	5	6	1	473.685772	386.774593	477.558167	382.900087	860.4603649999999	0.016687512936791153	0.06	0.71	100	100	1.2005	1.2006	0.0001	1.2006	0x6f27486b6c9a7a7fef4a6186aa9c0ba746a5a0dd	FALSE	0	0	0	0	0	0	0
100559	3	6	3	317.564738	404.514066	721.923502	0	722.078804	0.013649278229219757	0.06	0.69	0	9	1.2003	1.2006	0.0003	1.2005	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	TRUE	-887272	887272	0	0	1	1	100
162107	5	6	1	46598.142512	11969.118511	58561.156074	0	58567.261023	1.0701155390465718	0.05	0.67	0	60	1.2005	1.2006	0.0001	1.2006	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162149	4	5	1	57224.712999	1325.358257	58549.539746	0	58550.071256	0.899845956244236	0.05	0.56	0	83	1.2004	1.2005	0.0001	1.2005	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162110	5	6	1	30914.642323	7940.681704	38851.273815	0	38855.324027	0.6787238594982542	0.05	0.64	0	60	1.2005	1.2006	0.0001	1.2006	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162111	5	6	1	27326.057083	7018.923889	34341.400911	0	34344.980972	0.5798570180099972	0.05	0.62	0	60	1.2005	1.2006	0.0001	1.2006	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
142275	-8	17	25	4118.148435	4806.605395	1678.81942	7248.100935	8924.75383	0.1577349792335232	0.05	0.65	100	100	0.9992	1.2017	0.0025	1.2005	0xc61cc3107ad698103ace17beb39b1ac139646209	TRUE	-887272	887272	0	0	12	12	100
142232	11	12	1	1458.19012	2525.339432	3980.673425	0	3983.529552	0.06782535387757596	0.05	0.62	0	67	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162116	5	6	1	2334.767322	599.704307	2934.165743	0	2934.471629	0.046165116922064695	0.05	0.57	0	50	1.2005	1.2006	0.0001	1.2006	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99554	0	3	3	734.450438	1252.64513	0	1987.275192	1987.0955680000002	0.0332268224774302	0.05	0.61	100	100	1.2000	1.2003	0.0003	1.2002	0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	TRUE	-887272	887272	0	0	1	1	100
73670	0	3	3	459.655218	364.217092	476.74926	347.120834	823.87231	0.012843803532395457	0.05	0.57	100	100	1.2000	1.2003	0.0003	1.2002	0x154b4661a08eaffc746bdf7451a17ee50ee904cf	TRUE	-887272	887272	0	0	1	1	100
141483	4	5	1	103315.655264	28565.697167	95259.391519	36625.383021	131881.352431	1.8401079225772805	0.04	0.51	100	100	1.2004	1.2005	0.0001	1.2005	0xffeeb1732aeb273fcf4b6789553b6970da71cbaf	FALSE	0	0	0	0	0	0	0
