wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0xa35c3fb06b17af73b1b385144d47cf7f4624ae6e	0xf8fa00354778a31cbcc5988ea578a227d3982675	1.89	65	360.30	1.1952	25/03/14 01:03:00	USDC.e	scBTC
0x230bdaffcafeb1d08a83b8ec3b7b3c4d3a815f16	0xf8fa00354778a31cbcc5988ea578a227d3982675	1.71	64	330.69	0.9802	25/03/14 18:03:00	USDC.e	scBTC
0xdefa42f1c6ebce3663b99d3d1447aa426413bc74	0xf8fa00354778a31cbcc5988ea578a227d3982675	1.38	64	48.28	0.1156	25/03/14 21:03:00	USDC.e	scBTC
0x9674fc77a3f5773002877cae189a51ea89cc4316	0x0631508b6693731dd9f7baea849bf9eec5e74462	1.14	1	6656.78	0.2079	25/04/11 11:04:00	USDCE	scBTC
0x0bcf7b084613f1ca63fa47918cc5f3b383be4aab	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.96	30	5111.22	4.0538	25/03/12 18:03:00	USDCE	scBTC
0xbf4dbf8b9e3a5d37661cd95434e46cf064e07a3a	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.78	65	86.30	0.1184	25/03/13 23:03:00	USDC.e	scBTC
0x593d7d712e6b79b63e3bbe6f1cc8b8c11fc8abe4	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.56	58	1315.97	1.1669	25/03/20 06:03:00	USDC.e	scBTC
0xd94b4cea77c7828c58c06afa7594021f12d8d62c	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.56	65	142.60	0.1400	25/03/13 22:03:00	USDC.e	scBTC
0x593d7d712e6b79b63e3bbe6f1cc8b8c11fc8abe4	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.46	65	1016.50	0.8288	25/03/13 03:03:00	USDC.e	scBTC
0x3236d8db3360960e75ae020d58f4c91261af7447	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.33	50	11043.30	4.9156	25/03/28 03:03:00	USDC.e	scBTC
0xad4d57d5a50d640837ab4709807ade23fca5d1a9	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.26	1	6194.26	0.0437	25/05/01 23:05:00	USDCE	scBTC
0xae025de76780d42525b4e0a86af9b51f9b671378	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.25	1	19990.30	0.1375	25/03/13 03:03:00	USDCE	scBTC
0x893b5532ef798a87a8828800c0283143ed02a9ab	0xf8fa00354778a31cbcc5988ea578a227d3982675	0.20	1	110.00	0.0006	25/03/14 19:03:00	USDCE	scBTC
0x8f25818ff64be1abee91abca70c306b33b602062	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.18	1	41200.00	0.2064	25/03/27 05:03:00	USDCE	scBTC
0x2ffdb5725edc475082add02e6b7532a180eda4fa	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.11	54	57.84	0.0095	25/03/24 17:03:00	USDC.e	scBTC
0x7a9147fe98b3a96503821ace49e90b4a62d55b34	0x0631508b6693731dd9f7baea849bf9eec5e74462	0.01	46	2172.68	0.0285	25/03/28 04:03:00	USDCE	scBTC
