id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10788565	-68000	-66000	2000	34168.989156	1.782	34175.92543	1.78190923	170717.7795690192	24191.741039848035	7.46	90.74	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177725	1745326800
10787493	-68000	-66000	2000	34121.816348	1.78152938	34101.114513	1.78180028	170634.54470055673	24190.33737220407	7.46	90.78	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175697	1745326800
10787505	-68000	-66000	2000	34101.062475	1.78179757	34101.062474	1.78179756	170634.34134388715	24190.24333765731	7.46	90.78	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175711	1745326800
10778692	-68000	-66000	2000	37639.50505	1.782	37132.747001	1.78861268	173859.3562688377	24611.657350214955	7.45	90.65	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744159661	1745326800
10787481	-68000	-66000	2000	34334.546422	1.78152939	34334.546421	1.78152938	170847.27554082382	24186.602441626404	7.45	90.65	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175679	1745326800
10787556	-68000	-66000	2000	35130.633503	1.78179756	34757.128148	1.78668188	171663.91160562012	24257.31916804365	7.44	90.49	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175819	1745326800
10787602	-68000	-66000	2000	34695.972499	1.78172995	34560.144529	1.78350662	171224.06987001526	24213.759241105618	7.44	90.56	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175915	1745326800
10788041	-68000	-66000	2000	34691.239443	1.782	34643.122475	1.78262936	171240.02985601922	24201.64569915271	7.44	90.50	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744176857	1745326800
10804638	-68000	-66000	2000	32802.36378	1.782	32582.05397	1.78488686	169610.86052077863	23973.379848648423	7.44	90.51	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744200609	1745326800
10788341	-68000	-66000	2000	34888.764023	1.78199703	34888.764022	1.78199702	171437.32685470188	24192.9512693536	7.43	90.37	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177311	1745326800
10788459	-68000	-66000	2000	35007.332474	1.782	34971.406091	1.78246977	171556.1228870192	24199.44078407743	7.42	90.33	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177537	1745326800
10788410	-68000	-66000	2000	35734.083884	1.78199702	35444.96754	1.78577558	172282.6459494348	24244.67321855855	7.41	90.11	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177433	1745326800
10772880	-68000	-66000	2000	34712.865534	1.782	34406.507207	1.78600761	171382.9796584185	24126.80898347046	7.41	90.15	0	0.00		76694.78907094191479495877472173798	90203.02071103097894253410031531367	1744152519	1745326800
10787442	-68000	-66000	2000	35895.172452	1.782	35595.356142	1.78591786	172443.96286501922	24246.57899076092	7.40	90.04	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744175593	1745326800
10805202	-68000	-66000	2000	33766.011357	1.782	33483.369029	1.7857005	170574.50809777866	23984.440116419733	7.40	90.04	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744201373	1745326800
